Analysis,Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Time_Lag,Time_Window,Z_Threshold
same_day,p01,Steps,fatigue,0.1030724293107829,0.3993457196629012,69,Yes,0.703348625629376,False,False,,,
same_day,p01,Steps,mood,0.071703456380314,0.5582203835599082,69,Yes,0.8149362980264564,False,False,,,
same_day,p01,Steps,readiness,-0.0592178882552692,0.6288552002128172,69,Yes,0.8510822258519329,False,False,,,
same_day,p01,Steps,sleep_quality,0.1244202543540784,0.3083949081261534,69,Yes,0.6285598971552,False,False,,,
same_day,p01,Steps,stress,0.1511284106659066,0.2151356569469043,69,Yes,0.5187809662190659,False,False,,,
same_day,p01,Exercise_Count,fatigue,0.0436014505893672,0.7220401773206392,69,Yes,0.9076296729271507,False,False,,,
same_day,p01,Exercise_Count,mood,0.0011746770185007,0.99235690951033,69,Yes,0.994567058529284,False,False,,,
same_day,p01,Exercise_Count,readiness,0.1152739545889029,0.3455819815028785,69,Yes,0.6603477353558188,False,False,,,
same_day,p01,Exercise_Count,sleep_quality,-0.0283792502675051,0.8169452392051549,69,Yes,0.9286917721652733,False,False,,,
same_day,p01,Exercise_Count,stress,-0.0935933328691292,0.4443174883451831,69,Yes,0.7432820437001204,False,False,,,
same_day,p01,Exercise_Duration,fatigue,0.0541522423267857,0.6585405254009795,69,Yes,0.8732061831317786,False,False,,,
same_day,p01,Exercise_Duration,mood,-0.0335634196034099,0.784251774598713,69,Yes,0.9178499312598721,False,False,,,
same_day,p01,Exercise_Duration,readiness,0.123772348197371,0.3109406548335341,69,Yes,0.6302851111490556,False,False,,,
same_day,p01,Exercise_Duration,sleep_quality,0.0777937484411014,0.5251923619622664,69,Yes,0.7997853227851772,False,False,,,
same_day,p01,Exercise_Duration,stress,-0.1032926987327285,0.3983335978915218,69,Yes,0.7029416433379797,False,False,,,
same_day,p01,Exercise_Distance,fatigue,0.308624421450118,0.0098769301432209,69,Yes,0.10457926033998599,True,False,,,
same_day,p01,Exercise_Distance,mood,0.0280980318646175,0.8187281964432515,69,Yes,0.9286917721652733,False,False,,,
same_day,p01,Exercise_Distance,readiness,0.3318906533860088,0.0053368683341837,69,Yes,0.07874068034041524,True,False,,,
same_day,p01,Exercise_Distance,sleep_quality,0.1554186224733255,0.2022442676204363,69,Yes,0.5056106690510908,False,False,,,
same_day,p01,Exercise_Distance,stress,0.0472562173949193,0.6998048489687053,69,Yes,0.8933678923004749,False,False,,,
