Analysis,Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Time_Lag,Time_Window,Z_Threshold
same_day,p02,Steps,readiness,0.553478565900745,3.059230299184328e-05,50,Yes,0.002503006608423541,True,True,,,
same_day,p02,Exercise_Duration,readiness,0.488601671925256,0.0003181568332435,50,Yes,0.01193088124663125,True,True,,,
same_day,p02,Exercise_Distance,readiness,0.4922313508422883,0.0002824802837781,50,Yes,0.011185223622299999,True,True,,,
same_day,p02,Exercise_Calories,readiness,0.5452740040047641,4.226391389944765e-05,50,Yes,0.00292596326996176,True,True,,,
same_day,p04,Steps,mood,0.4232972274453322,0.0002116300843083,72,Yes,0.010024582940919473,True,True,,,
same_day,p06,Steps,readiness,0.3811133086137478,0.0008080129397271,74,Yes,0.023458440185625484,True,True,,,
same_day,p06,Exercise_Distance,readiness,0.4100019301480218,0.000285844603681,74,Yes,0.011185223622299999,True,True,,,
same_day,p06,Sleep_Duration_Score,stress,0.355527697136649,0.0020237716166925,73,Yes,0.044658273121827796,True,True,,,
same_day,p07,Sleep_Duration_Score,sleep_quality,0.5609960044689465,1.4232782215846517e-06,64,Yes,0.000398821823195576,True,True,,,
same_day,p07,Deep_Sleep_Minutes,sleep_quality,0.399267230318956,0.0010821362705434,64,Yes,0.028644783632031177,True,True,,,
same_day,p07,Sleep_Composition,sleep_quality,0.4536487437439204,0.0001667206233076,64,Yes,0.008463804269505,True,True,,,
same_day,p07,Sleep_Score,sleep_quality,0.5559567723937645,1.849255659470204e-06,64,Yes,0.000398821823195576,True,True,,,
same_day,p08,Steps,fatigue,0.4571353928531694,0.0006571068408135,52,Yes,0.02150704529868724,True,True,,,
same_day,p08,Steps,readiness,0.7016325789408804,6.860656232200864e-09,52,Yes,6.174590608980778e-06,True,True,,,
same_day,p08,Exercise_Duration,readiness,0.4415069069212822,0.0010511138354062,52,Yes,0.028644783632031177,True,True,,,
same_day,p08,Exercise_Distance,readiness,0.5122074236651856,0.0001037503860913,52,Yes,0.005835959217635626,True,True,,,
same_day,p08,Exercise_Distance,stress,0.414690447129733,0.0022386429968086,52,Yes,0.04685531853785442,True,True,,,
same_day,p08,Exercise_Calories,readiness,0.5160412099363442,9.014747687406472e-05,52,Yes,0.005795194941904161,True,True,,,
same_day,p08,Sleep_Duration_Score,mood,0.4871936576032857,0.0003330614012847,50,Yes,0.0119902104462492,True,True,,,
same_day,p08,Sleep_Restlessness,readiness,-0.6670017183043704,1.2295540697906817e-07,50,Yes,5.532993314058068e-05,True,True,,,
same_day,p08,Sleep_Composition,sleep_quality,0.4621682922146249,0.0007278418092539,50,Yes,0.021835254277617,True,True,,,
same_day,p08,Sleep_Revitalization,readiness,0.4961171314896558,0.0002483415640379,50,Yes,0.011175370381705501,True,True,,,
same_day,p08,Sleep_Revitalization,sleep_quality,0.4637956032882808,0.0006930047929577,50,Yes,0.02150704529868724,True,True,,,
same_day,p08,Sleep_Score,mood,0.4638198516986295,0.0006924972326454,50,Yes,0.02150704529868724,True,True,,,
same_day,p08,Sleep_Score,sleep_quality,0.4935654803467617,0.0002703071407649,50,Yes,0.011185223622299999,True,True,,,
same_day,p09,Sleep_Hours,fatigue,0.6398877827820351,2.215676795530978e-06,45,Yes,0.000398821823195576,True,True,,,
