Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,Sensitivity_Threshold,p_FDR,Significant_raw,Significant_FDR,Analysis
p01,Steps,fatigue,0.1004227450182558,0.4223902351993448,66,Yes,1.0,0.720500266580421,False,False,sensitivity_Z1
p01,Steps,mood,0.0877017402639911,0.4837836951732439,66,Yes,1.0,0.7748562572013222,False,False,sensitivity_Z1
p01,Steps,readiness,-0.0620319530704592,0.6207426191871612,66,Yes,1.0,0.8451916090578937,False,False,sensitivity_Z1
p01,Steps,sleep_quality,0.1361331238290127,0.2757558268717143,66,Yes,1.0,0.5836193476930472,False,False,sensitivity_Z1
p01,Steps,stress,0.1496995954106562,0.2302548525202061,66,Yes,1.0,0.5374633004879548,False,False,sensitivity_Z1
p01,Exercise_Count,fatigue,0.0314210911068116,0.8022388331153448,66,Yes,1.0,0.9164349838174269,False,False,sensitivity_Z1
p01,Exercise_Count,mood,-0.1015504800579494,0.4171718721381647,66,Yes,1.0,0.7192943071185445,False,False,sensitivity_Z1
p01,Exercise_Count,readiness,0.1090696053131774,0.3833391436832503,66,Yes,1.0,0.6939220825449857,False,False,sensitivity_Z1
p01,Exercise_Count,sleep_quality,-0.0398074597725277,0.7509825079362065,66,Yes,1.0,0.9034973750162242,False,False,sensitivity_Z1
p01,Exercise_Count,stress,-0.1014514547003575,0.4176285999617254,66,Yes,1.0,0.7192943071185445,False,False,sensitivity_Z1
p01,Exercise_Duration,fatigue,0.06037769222195,0.6301054520654072,66,Yes,1.0,0.8468235393666913,False,False,sensitivity_Z1
p01,Exercise_Duration,mood,-0.0361634272030031,0.7731370299044732,66,Yes,1.0,0.9035211403494964,False,False,sensitivity_Z1
p01,Exercise_Duration,readiness,0.1277251882092684,0.3067753415364983,66,Yes,1.0,0.625539604466377,False,False,sensitivity_Z1
p01,Exercise_Duration,sleep_quality,0.0757318484775838,0.5456029783110833,66,Yes,1.0,0.8155205797753626,False,False,sensitivity_Z1
p01,Exercise_Duration,stress,-0.1009855376207261,0.4197813743896279,66,Yes,1.0,0.7202051819798839,False,False,sensitivity_Z1
p01,Exercise_Distance,fatigue,0.3282506730196013,0.0071288024053758,66,Yes,1.0,0.08782288518844909,True,False,sensitivity_Z1
p01,Exercise_Distance,mood,0.0731641517392232,0.5593448351874267,66,Yes,1.0,0.8205269543328632,False,False,sensitivity_Z1
p01,Exercise_Distance,readiness,0.3432933802655499,0.0047732855819987,66,Yes,1.0,0.07427902300408504,True,False,sensitivity_Z1
p01,Exercise_Distance,sleep_quality,0.1570449937407779,0.2079243581469514,66,Yes,1.0,0.5094721151280274,False,False,sensitivity_Z1
p01,Exercise_Distance,stress,0.0547447790881598,0.6624169226937899,66,Yes,1.0,0.8646328446704549,False,False,sensitivity_Z1
p01,Exercise_Calories,fatigue,0.1245991555117795,0.3188621575195086,66,Yes,1.0,0.6384440941756301,False,False,sensitivity_Z1
p01,Exercise_Calories,mood,-0.0125546259983418,0.9203051027685338,66,Yes,1.0,0.9660480782907569,False,False,sensitivity_Z1
p01,Exercise_Calories,readiness,0.1889908490535851,0.1285699811379063,66,Yes,1.0,0.39571989341086583,False,False,sensitivity_Z1
p01,Exercise_Calories,sleep_quality,0.1185543081751562,0.3430854022222695,66,Yes,1.0,0.6614847566602543,False,False,sensitivity_Z1
p01,Exercise_Calories,stress,-0.0888269520825422,0.4781697171983942,66,Yes,1.0,0.7711573439181375,False,False,sensitivity_Z1
p01,Exercise_Avg_HR,fatigue,0.3617002489562578,0.0146316271714678,45,Yes,1.0,0.11798412091901762,True,False,sensitivity_Z1
p01,Exercise_Avg_HR,mood,0.0579920720759694,0.705137766905636,45,Yes,1.0,0.8910651858789573,False,False,sensitivity_Z1
p01,Exercise_Avg_HR,readiness,0.4394245683606674,0.0025271408471391,45,Yes,1.0,0.04769306237047621,True,True,sensitivity_Z1
p01,Exercise_Avg_HR,sleep_quality,0.1993535718176607,0.1892180630943493,45,Yes,1.0,0.4907497718265726,False,False,sensitivity_Z1
p01,Exercise_Avg_HR,stress,0.0466304687976604,0.7609985653167953,45,Yes,1.0,0.9034973750162242,False,False,sensitivity_Z1
p01,Sleep_Hours,fatigue,0.0019473844166815,0.9876186407066042,66,Yes,1.0,0.9943447608476254,False,False,sensitivity_Z1
p01,Sleep_Hours,mood,0.0951621401080855,0.4472206384213315,66,Yes,1.0,0.741514106893184,False,False,sensitivity_Z1
p01,Sleep_Hours,readiness,-0.1220983023788034,0.3287478418708606,66,Yes,1.0,0.6465617200431337,False,False,sensitivity_Z1
p01,Sleep_Hours,sleep_quality,-0.0035921649276564,0.977163369868874,66,Yes,1.0,0.9894336861571817,False,False,sensitivity_Z1
p01,Sleep_Hours,stress,-0.1092291433953009,0.3826395582168876,66,Yes,1.0,0.6939220825449857,False,False,sensitivity_Z1
p01,Sleep_Duration_Score,fatigue,0.0663775703007913,0.5964342386019125,66,Yes,1.0,0.8357617213900417,False,False,sensitivity_Z1
p01,Sleep_Duration_Score,mood,0.0976290787642074,0.4354769852317676,66,Yes,1.0,0.7301854175814326,False,False,sensitivity_Z1
p01,Sleep_Duration_Score,readiness,0.0557402259584696,0.6566598445959051,66,Yes,1.0,0.864266310924325,False,False,sensitivity_Z1
p01,Sleep_Duration_Score,sleep_quality,0.2200541280954554,0.0758313329166582,66,Yes,1.0,0.3071342114021727,False,False,sensitivity_Z1
p01,Sleep_Duration_Score,stress,-0.211109510733941,0.0888439232989281,66,Yes,1.0,0.3367716237869625,False,False,sensitivity_Z1
p01,Deep_Sleep_Minutes,fatigue,-0.1114743450102131,0.3728754239385225,66,Yes,1.0,0.6861825749765162,False,False,sensitivity_Z1
p01,Deep_Sleep_Minutes,mood,-0.0705360151381971,0.5735777445234519,66,Yes,1.0,0.8285026289801178,False,False,sensitivity_Z1
p01,Deep_Sleep_Minutes,readiness,-0.198531577789525,0.1100400814904379,66,Yes,1.0,0.3685407058786047,False,False,sensitivity_Z1
p01,Deep_Sleep_Minutes,sleep_quality,-0.1314964952568708,0.2925933238876409,66,Yes,1.0,0.6057242504079701,False,False,sensitivity_Z1
p01,Deep_Sleep_Minutes,stress,-0.019920544727467,0.8738588682950569,66,Yes,1.0,0.9358460565533998,False,False,sensitivity_Z1
p01,Sleep_Restlessness,fatigue,-0.0345714299389521,0.7828739672435315,66,Yes,1.0,0.907162653776252,False,False,sensitivity_Z1
p01,Sleep_Restlessness,mood,0.0107409355685734,0.931788396603366,66,Yes,1.0,0.972348597396689,False,False,sensitivity_Z1
p01,Sleep_Restlessness,readiness,-0.1540178858083242,0.2169336259172663,66,Yes,1.0,0.5214637566087132,False,False,sensitivity_Z1
p01,Sleep_Restlessness,sleep_quality,-0.1168975984380573,0.3499195380826193,66,Yes,1.0,0.6657162390480775,False,False,sensitivity_Z1
p01,Sleep_Restlessness,stress,0.2212461546669935,0.0742182498606775,66,Yes,1.0,0.3047758686408377,False,False,sensitivity_Z1
p01,Sleep_Composition,fatigue,-0.2552894201424319,0.0385677375352856,66,Yes,1.0,0.21248188319129394,True,False,sensitivity_Z1
p01,Sleep_Composition,mood,-0.1701516958605515,0.1719731894572279,66,Yes,1.0,0.46648385030141026,False,False,sensitivity_Z1
p01,Sleep_Composition,readiness,-0.1079261066969252,0.388375814954092,66,Yes,1.0,0.7016076331248057,False,False,sensitivity_Z1
p01,Sleep_Composition,sleep_quality,-0.2554694272877915,0.038426277183087,66,Yes,1.0,0.21248188319129394,True,False,sensitivity_Z1
p01,Sleep_Composition,stress,-0.214887677961062,0.083148108438829,66,Yes,1.0,0.3234753166019357,False,False,sensitivity_Z1
p01,Sleep_Revitalization,fatigue,0.2926689498942552,0.0170932609845488,66,Yes,1.0,0.13184106515908509,True,False,sensitivity_Z1
p01,Sleep_Revitalization,mood,-0.0165944366090192,0.8947888744597292,66,Yes,1.0,0.9458928272757601,False,False,sensitivity_Z1
p01,Sleep_Revitalization,readiness,0.2854673283253539,0.0201571084049795,66,Yes,1.0,0.1482601332545307,True,False,sensitivity_Z1
p01,Sleep_Revitalization,sleep_quality,0.0281881837682971,0.8222351940876584,66,Yes,1.0,0.9197006521510127,False,False,sensitivity_Z1
p01,Sleep_Revitalization,stress,-0.0980880075931684,0.43331162220629,66,Yes,1.0,0.728831683993238,False,False,sensitivity_Z1
p01,Sleep_Score,fatigue,0.0773727980955239,0.5369074206515654,66,Yes,1.0,0.8113064431310707,False,False,sensitivity_Z1
p01,Sleep_Score,mood,-0.0311650918524664,0.8038178324802234,66,Yes,1.0,0.9164349838174269,False,False,sensitivity_Z1
p01,Sleep_Score,readiness,0.1354845592938256,0.2780713754169792,66,Yes,1.0,0.5844770379025132,False,False,sensitivity_Z1
p01,Sleep_Score,sleep_quality,0.0241423586480734,0.8474179256927478,66,Yes,1.0,0.9304646998831232,False,False,sensitivity_Z1
